,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,EQUIPMENT,,,,,,,TOWING PERSONNEL,,,,SERVICE  TYPE,,,,,,,,,
S/N,DATE,DAY,TIME,A/C Regn,A/C Type,PB/TOW,PB,TOW,FROM,TO,AT1,AT2,AT3,AT4,AT5,AT6,AT10,OPERATOR,ASSISTANT 1,ASSISTANT 2,ASSISTANT 3,FBO,"NON
FBO",MXX,"NON
JET","HGR /
CMP CTR",Checked by,REMARKS,JOB NO.,ERROR,ERROR REMARKS
106,8-Sep-26,,1920,T7AMY,FA7X,,,1,AG13,CPAC1,,,,1,,,,SAM,MUS,SUK,HDT,,,1,,,SAM,,UV,,
107,9-Sep-26,,0755,VPCTW,G650,1,,,Z5,D53,,,,1,,,,SAM,WAF,SAZ,KAT,1,,,,1,SAM,,25243,,
108,9-Sep-26,,0820,N188WM,GA7C,,,1,D55,CMP11,,,,1,,,,SAM,WAF,SHA,RAS,1,,,,1,SAM,,25279,,
109,9-Sep-26,,1010,T7Y8998,GA7C,1,,,Z4,CPAB1X,,,,1,,,,SAM,WAF,RAF,KAT,1,,,,1,SAM,,25218,,
110,9-Sep-26,,1100,T7828,A220,1,,,Z4,GRE,,1,,,,,,SAM,WAF,CHIN,GAB,,,1,,1,SAM,,25181,,
111,9-Sep-26,,1150,T7828,A220,,,1,GRE,Z4,,1,,,,,,SAM,WAF,ZAR,KAT,1,,,,1,SAM,,25181,,
112,9-Sep-26,,1215,T7Y8998,GA7C,1,,,CPAB1X,Z4,,1,,,,,,SAM,SAZ,KAT,ZAR,1,,,,1,SAM,,25218,,
113,9-Sep-26,,1245,N566NS,G650,1,,,CPAB1X,AG13,,1,,,,,,SAM,KAT,SAZ,WAF,,,1,,,SAM,,PAS,,
114,9-Sep-26,,1250,N988NW,FA7X,1,,,AG13,CPAB1X,,,,,,,1,ZAR,SAZ,KAT,WAF,,,1,,,SAM,,PAS,,
115,9-Sep-26,,1410,T7OKS,G550,1,,,Z5,D53,,,,1,,,,SAM,WAF,CHI,RAZ,1,,,,1,SAM,,25093,,
116,9-Sep-26,,1545,N11UB,GLEX,,,1,D51,Z5,,,,1,,,,SAM,WAF,FOO,GAB,1,,,,,SAM,,25198,,
117,9-Sep-26,,1605,VPCJJ,G650,,,1,AG11,GRE,,,,1,,,,SAM,WAF,KHOR,SHN,,,1,,,SAM,,25026,,
118,9-Sep-26,,1705,T7ARES,GLEX,1,,,C1,D52,,,,1,,,,SAM,WAF,,,1,,,,,SAM,,25239,,
119,9-Sep-26,,1805,VPCJJ,G650,,,1,GRE,AG11,,,,1,,,,SAM,WAF,KHOR,SHN,,,1,,,SAM,,25026,,
120,9-Sep-26,,1840,T7808,G650,1,,,C2,Z5,,,,1,,,,SAM,WAF,KHOR,RAZI,1,,,,1,SAM,,25293,,
121,9-Sep-26,,1900,VQBQV,B737,1,,,AG11,C51,,1,,,,,,SAM,WAF,KHOR,RAZI,,,1,,,SAM,,BAS,,
122,9-Sep-26,,1955,LXPOH,FA7X,1,,,C62,D51,,1,,,,,,SAM,WAF,,,1,,,,,SAM,,25231,,
123,9-Sep-26,,2010,VPCKY,GA8C,,,1,D50,Z4,,1,,,,,,SAM,WAF,ZAR,KAT,1,,,,1,SAM,,25286,,
124,9-Sep-26,,2030,VPCSL,G650,1,,,AG13,CPAB1,,1,,,,,,SAM,WAF,SAZ,KAT,,,1,,,SAM,,PAS,,
125,9-Sep-26,,2045,B3276,G650,,,1,AG11,C4,,,,,,,1,ZAR,SAM,WAF,KAT,,,1,,,SAM,,WOA,,
126,10-Sep-26,,0630,T7RSP,GLEX,,,1,D55,AG7,,,,,,,,,,,,,,,1,,ZAR,TOW BY BAS,25064,,
127,10-Sep-26,,0905,N566NS,G650,,,1,AG13,GRE,,,,1,,,,SAM,NIC,NING,FOO,,,1,,,ZAR,,PAS,,
128,10-Sep-26,,0920,PKTMI,G450,,,1,B3,AG11,,,,,,,1,ZAR,JOE,HSM,RAS,,,1,,,ZAR,,UV,,
129,10-Sep-26,,0930,T7187,E35L,,,1,B54,AG13,,,,1,,,,SAM,KAM,SAZ,KAT,,,1,,,ZAR,,UV,,
130,10-Sep-26,,0940,N11UB,GLEX,1,,,Z5,AG6,,,,,,,,,,,,,,,1,,ZAR,,25198,,
131,10-Sep-26,,0950,VPCMA,B738,,,1,R1,AG11,,1,,,,,,ZAR,JOE,RAS,HSM,,,1,,,ZAR,DERAG,24976,,
132,10-Sep-26,,1020,N566NS,G650,,,1,GRE,AG13,,,,1,,,,SAM,RAF,NIC,NING,,,1,,,ZAR,,PAS,,
133,10-Sep-26,,1510,RPC5168,G150,1,,,AG11,GRE,,,,1,,,,SAM,LIM,RAF,ZAR,,,1,,,ZAR,,23961,,
134,10-Sep-26,,1545,VPCKY,GA8C,1,,,Z4,D1,,,,,,,1,ZAR,HSM,JOE,RAS,1,,,,1,ZAR,,25286,,
135,10-Sep-26,,1550,N308KB,G280,1,,,Z4,B3,,,1,,,,,HDT,HSM,JOE,RAS,1,,,,1,ZAR,,25214,,
136,10-Sep-26,,1555,T758GG,F2TH,,,1,Z4,B2,,,,,,,1,ZAR,HSM,JOE,RAS,1,,,,1,ZAR,,25159,,
137,10-Sep-26,,1600,N308KB,G280,,,1,B3,Z5,,,1,,,,,HDT,HSM,JOE,RAS,1,,,,1,ZAR,,25214,,
138,10-Sep-26,,1630,RPC5168,G150,,,1,GRE,AG11,,,,1,,,,SAM,LIM,JOE,ZAR,,,1,,,ZAR,,23961,,
139,10-Sep-26,,1705,N603BG,G550,,,1,D56,C1,,,,1,,,,SAM,ZAR,,,1,,,,,ZAR,,25291,,
140,10-Sep-26,,1910,N977JH,C680,1,,,B58,AG5,,,,1,,,,SAM,SHA,RAF,,,,1,,,ZAR,,25302,,
141,10-Sep-26,,2030,T758GG,F2TH,,,1,B2,Z4,,,,,,,1,ZAR,SAZ,KAT,RAF,1,,,,1,ZAR,FLT CANX,25290,,
142,10-Sep-26,,2040,VPCKY,G800,1,,,B2,Z4,,,,1,,,,SAM,SAZ,RAF,KAT,1,,,,1,ZAR,,25286,,
143,11-Sep-26,,0720,T7RSP,GLEX,,,1,AG7,C2,,,,,,,,,,,,,,,1,,ZAR,TOW BY BAS,25064,,
144,11-Sep-26,,0725,LXARY,GL7T,,,1,AG7,C4,,,,,,,,,,,,,,,1,,ZAR,TOW BY BAS,25160,,
145,11-Sep-26,,0900,B8279,G450,1,,,AG13,GRE,,,,1,,,,KAM,MAR,ZAR,JOE,,,1,,,ZAR,,PAS,,
146,11-Sep-26,,0945,T7BOSS,A319,,,1,AG11,R1,,1,,,,,,ZAR,JOE,SUK,MUS,,,1,,,ZAR,,UV,,
147,11-Sep-26,,1015,B8279,G450,,,1,GRE,AG13,,,,1,,,,KAM,MAR,ZAR,LIM,,,1,,,ZAR,,PAS,,
148,11-Sep-26,,1110,T7OKS,G550,,,1,D56,Z5,,,,1,,,,KAM,ZAR,JOE,RAF,1,,,,1,ZAR,,25265,,
149,11-Sep-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,11-Sep-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,11-Sep-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,11-Sep-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,11-Sep-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,11-Sep-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,11-Sep-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,11-Sep-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
